AT11;AT1;Burgenland
AT12;AT1;Niederösterreich
AT13;AT1;Wien
AT21;AT2;Kärnten
AT22;AT2;Steiermark
AT31;AT3;Oberösterreich
AT32;AT3;Salzburg
AT33;AT3;Tirol
AT34;AT3;Vorarlberg
BE10;BE1;Brussels Hoofdstedelijk Gewest
BE21;BE2;Prov. Antwerpen
BE22;BE2;Prov. Limburg (B)
BE23;BE2;Prov. Oost-Vlaanderen
BE24;BE2;Prov. Vlaams-Brabant
BE25;BE2;Prov. West-Vlaanderen
BE31;BE3;Prov. Brabant Wallon
BE32;BE3;Prov. Hainaut
BE33;BE3;Prov. Liege
BE34;BE3;Prov. Luxembourg (B)
BE35;BE3;Prov. Namur
BG11;BG1;Severozapaden
BG12;BG1;Severen tsentralen
BG13;BG1;Severoiztochen
BG21;BG2;Yugozapaden
BG22;BG2;Yuzhen tsentralen
BG23;BG2;Yugoiztochen
CR101;CR1;Alajuela
CR102;CR1;Grecia
CR103;CR1;Naranjo
CR104;CR1;San Carlos
CR105;CR1;San Ramón
CR106;CR1;Upala
CR207;CR2;Cartago
CR208;CR2;La Unión
CR209;CR2;Oreamuno
CR210;CR2;Paraíso
CR211;CR2;Turrialba
CR312;CR3;Liberia
CR313;CR3;Nicoya
CR314;CR3;Santa Cruz
CR415;CR4;Heredia
CR416;CR4;San Rafael
CR417;CR4;Santo Domingo
CR418;CR4;Sarapiquí
CR519;CR5;Guácimo
CR520;CR5;Limón
CR521;CR5;Pococí
CR522;CR5;Siquirres
CR623;CR6;Buenos Aires
CR624;CR6;Corredores
CR625;CR6;Coto Brus
CR626;CR6;Golfito
CR627;CR6;Puntarenas
CR728;CR7;Alajuelita
CR729;CR7;Aserrí
CR730;CR7;Curridabat
CR731;CR7;Desamparados
CR732;CR7;Escazú
CR733;CR7;Goicoechea
CR734;CR7;Montes de Oca
CR735;CR7;Moravia
CR736;CR7;Pérez Zeledón
CR737;CR7;San José
CR738;CR7;Santa Ana
CR739;CR7;Tibás
CR740;CR7;Vázquez de Coronado
CY00;CY0;Kypros
CZ3101;CZ19;Praha 1
CZ3102;CZ19;Praha 2
