AT111;AT11;Mittelburgenland
AT112;AT11;Nordburgenland
AT113;AT11;Südburgenland
AT121;AT12;Mostviertel-Eisenwurzen
AT122;AT12;Niederösterreich-Süd
AT123;AT12;Sankt Pölten
AT124;AT12;Waldviertel
AT125;AT12;Weinviertel
AT126;AT12;Wiener Umland/Nordteil
AT127;AT12;Wiener Umland/Südteil
AT130;AT13;Wien
AT211;AT21;Klagenfurt-Villach
AT212;AT21;Oberkärnten
AT213;AT21;Unterkärnten
AT221;AT22;Graz
AT222;AT22;Liezen
AT223;AT22;Östliche Obersteiermark
AT224;AT22;Oststeiermark
AT225;AT22;West- und Südsteiermark
AT226;AT22;Westliche Obersteiermark
AT311;AT31;Innviertel
AT312;AT31;Linz-Wels
AT313;AT31;Mühlviertel
AT314;AT31;Steyr-Kirchdorf
AT315;AT31;Traunviertel
AT321;AT32;Lungau
AT322;AT32;Pinzgau-Pongau
AT323;AT32;Salzburg und Umgebung
AT331;AT33;Außerfern
AT332;AT33;Innsbruck
AT333;AT33;Osttirol
AT334;AT33;Tiroler Oberland
AT335;AT33;Tiroler Unterland
AT341;AT34;Bludenz-Bregenzer Wald
AT342;AT34;Rheintal-Bodenseegebiet
BE100;BE10;Arr. van Brussel-Hoofdstad
BE211;BE21;Arr. Antwerpen
BE212;BE21;Arr. Mechelen
BE213;BE21;Arr. Turnhout
BE221;BE22;Arr. Hasselt
BE222;BE22;Arr. Maaseik
BE223;BE22;Arr. Tongeren
BE231;BE23;Arr. Aalst
BE232;BE23;Arr. Dendermonde
BE233;BE23;Arr. Eeklo
BE234;BE23;Arr. Gent
BE235;BE23;Arr. Oudenaarde
BE236;BE23;Arr. Sint-Niklaas
BE241;BE24;Arr. Halle-Vilvoorde
BE242;BE24;Arr. Leuven
BE251;BE25;Arr. Brugge
BE252;BE25;Arr. Diksmuide
BE253;BE25;Arr. Ieper
BE254;BE25;Arr. Kortrijk
BE255;BE25;Arr. Oostende
BE256;BE25;Arr. Roeselare
BE257;BE25;Arr. Tielt
BE258;BE25;Arr. Veurne
BE310;BE31;Arr. Nivelles
BE321;BE32;Arr. Ath
BE322;BE32;Arr. Charleroi
BE323;BE32;Arr. Mons
BE324;BE32;Arr. Mouscron
BE325;BE32;Arr. Soignies
BE326;BE32;Arr. Thuin
BE327;BE32;Arr. Tournai
BE331;BE33;Arr. Huy
BE332;BE33;Arr. Liege
BE333;BE33;Arr. Verviers
BE334;BE33;Arr. Waremme
BE341;BE34;Arr. Arlon
BE342;BE34;Arr. Bastogne
BE343;BE34;Arr. Marche-en-Famenne
BE344;BE34;Arr. Neufchâteau
BE345;BE34;Arr. Virton
BE351;BE35;Arr. Dinant
BE352;BE35;Arr. Namur
BE353;BE35;Arr. Philippeville
BG111;BG11;Vidin
BG112;BG11;Montana
BG113;BG11;Vratsa
BG121;BG12;Pleven
BG122;BG12;Lovech
BG123;BG12;Veliko Tarnovo
BG124;BG12;Gabrovo
BG125;BG12;Ruse
BG131;BG13;Varna
BG132;BG13;Dobrich
BG133;BG13;Shumen
BG134;BG13;Targovishte
BG135;BG13;Razgrad
BG136;BG13;Silistra
BG211;BG21;Sofia (stolitsa)
BG212;BG21;Sofia
BG213;BG21;Blagoevgrad
BG214;BG21;Pernik
BG215;BG21;Kyustendil
BG221;BG22;Plovdiv
BG222;BG22;Stara Zagora
BG223;BG22;Haskovo
BG224;BG22;Pazardzhik
BG225;BG22;Smolyan
BG226;BG22;Kardzhali
BG231;BG23;Burgas
BG232;BG23;Sliven
BG233;BG23;Yambol
CY000;CY00;Kypros
CZ500011;CZ3705;Želechovice nad Dřevnicí
CZ500020;CZ3809;Petrov nad Desnou
CZ500046;CZ3804;Libhošť
CZ500054;CZ3101;Praha 1
CZ500062;CZ3810;Krhová
CZ500071;CZ3810;Poličná
CZ500089;CZ3102;Praha 2
CZ500097;CZ3103;Praha 3
CZ500119;CZ3104;Praha 4
CZ500143;CZ3105;Praha 5
CZ500178;CZ3106;Praha 6
CZ500186;CZ3107;Praha 7
CZ500208;CZ3108;Praha 8
CZ500216;CZ3109;Praha 9
